,SMILES,ERE,HRE,rings,fused,bridged,F,S,O,Si,N,Energy
0,c1ccc2c(c1)ccc1ccccc12,0.316193854,0.218749614,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.267471734
1,c1ccc2cc3cc4c(ccc5cc6cc7ccccc7cc6cc54)cc3cc2c1,0.148908243,0.065630074,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10726915849999999
2,c1ccc2cc3c(ccc4c3ccc3c5cc6ccccc6cc5ccc34)cc2c1,0.125508971,0.12952976,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12751936549999998
3,c1ccc2c(c1)ccc1cc3c4ccccc4c4ccccc4c3cc12,0.180891149,0.153495034,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1671930915
4,c1ccc2ccccc2c1,0.260864903,0.186561098,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22371300049999998
5,C1C=Cc2ccccc12,0.421463639,0.308630901,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36504727000000003
6,C1=CC2=CC=CC2=C1,0.638411028,0.731530878,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6849709530000001
7,c1cc2cccccc2c1,0.298280608,0.25855665,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27841862900000003
8,c1ccc2c(c1)c1ccccc21,0.401129348,0.305471986,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35330066699999996
9,c1ccc2c(c1)c1ccc3c4ccc5c6ccccc6c5c4c3c21,0.223415428,0.228476326,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22594587700000002
10,c1ccc2c(c1)c1cc3c(cc21)c1cc2c4ccccc4c2cc31,0.299191272,0.239683133,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26943720250000003
11,c1ccc2c(c1)c1c2c2c3ccccc3c2c2c3ccccc3c12,0.219609937,0.225294553,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.222452245
12,c1ccc2cc3c(cc2c1)c1cc2ccccc2cc31,0.123735644,0.225053295,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17439446949999998
13,C1=Cc2cccc3cccc1c23,0.283773413,0.414266764,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3490200885
14,C1C=Cc2cccc3cccc1c23,0.27440233,0.202042523,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23822242650000003
15,c1cc2ccc3cccc4ccc(c1)c2c34,0.211936124,0.154645051,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1832905875
16,c1ccc2c(c1)c1ccccc1c1ccccc21,0.255795568,0.181953735,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2188746515
17,C1=Cc2c3c1cccc3cc1ccccc21,0.228099854,0.223023009,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2255614315
18,C1=Cc2cc3ccccc3c3cccc1c23,0.294532534,0.314752455,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3046424945
19,c1ccc2c(c1)c1cccc3cccc2c13,0.2603558,0.139228227,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19979201350000003
20,c1ccc2=Cc3cccc4cccc(C=c2c1)c34,0.281686363,0.183766274,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2327263185
21,C1Cc2ccc3C=c4ccccc4=Cc4ccc1c2c34,0.278277373,0.204962983,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.241620178
22,c1cc2cccc3c4cccc5cccc(c(c1)c23)c45,0.173285202,0.145410326,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.159347764
23,c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34,0.196284164,0.145470028,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.170877096
24,C1Cc2c3c1cccc3cc1c2ccc2ccccc12,0.184620991,0.151115732,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1678683615
25,c1cc2ccc3ccc4ccc5ccc6ccc1c1c2c3c4c5c61,0.171598435,0.130041284,7.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1508198595
26,c1ccc2c(c1)cc1ccc3cc4c5ccccc5cc5ccc6cc2c1c3c6c45,0.169324305,0.134289345,8.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.151806825
27,C1c2ccccc2c2ccc3c4ccc5c6ccccc6Cc6ccc(c7ccc1c2c37)c4c56,0.192690379,0.198623057,9.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.195656718
28,c1cc2ccc3cc4ccc5ccc6ccc7cc8ccc1c1c2c3c2c4c5c6c7c2c81,0.123187004,0.09716562,10.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.110176312
29,C1=CC2=C3C4=C1C=CC5=C4C6=C(C=C5)C=CC(=C36)C=C2,0.259261948,0.236356594,6.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.247809271
30,c1ccc2c(c1)ccc1cc3cc4cc5cc6cc7cc8c(ccc9c%10ccccc%10c%10ccccc%10c89)cc7cc6cc5cc4cc3cc12,0.084620519,0.064375618,12.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0744980685
31,c1ccc2c(c1)ccc1cc3cc4ccc5cc6cccc7cccc(c76)c5c4c4cccc(c12)c34,0.183335296,0.151657978,9.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167496637
32,c1ccc2cc3c(ccc4cc5cc6ccc7cc8c9cc%10cc%11ccc%12cc%13ccccc%13cc%12c%11cc%10cc9c9ccccc9c8cc7c6cc5cc43)cc2c1,0.085651023,0.061150225,14.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.073400624
33,c1ccc2c(c1)c1ccccc1c1cc3c(ccc4c3ccc3c5ccccc5c5ccccc5c43)cc21,0.17741949,0.178537072,9.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17797828100000002
34,c1ccc2cc3cc4cc5cc6c(ccc7cc8cc9cc%10cc%11ccccc%11cc%10cc9cc8cc76)cc5cc4cc3cc2c1,0.097205349,0.073751109,11.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08547822899999999
35,c1ccc2cc3c(ccc4cc5cc6c(ccc7cc8cc9c(ccc%10cc%11ccccc%11cc%109)cc8cc76)cc5cc43)cc2c1,0.167433098,0.121042728,11.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.144237913
36,c1ccc2cc3c(ccc4cc5cc6ccc7cc8cc9ccc%10cc%11ccccc%11cc%10c9cc8cc7c6cc5cc43)cc2c1,0.15518161,0.118887568,11.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13703458899999998
37,c1cc2cccc3c4cc5cc6ccc7cc8cc9c(cc8cc7c6cc5cc4cc(c1)c23)cc1cccc2cccc9c21,0.05457372,0.054136157,11.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0543549385
38,c1ccc2cc3cc4cc5c(ccc6c5ccc5c7cc8cc9cc%10ccccc%10cc9cc8cc7ccc56)cc4cc3cc2c1,0.075603949,0.05610002,11.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0658519845
39,c1cc2cccc3c4cc5cc6c(ccc7cc8cc9cc%10cccc%11cccc(c9cc8cc76)c%11%10)cc5cc4cc(c1)c23,0.063127149,0.063383754,11.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0632554515
40,c1ccc2cc3cc4cc5c(ccc6ccc7ccc8cc9cc%10cc%11ccccc%11cc%10cc9cc8c7c65)cc4cc3cc2c1,0.09712317,0.083874104,11.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09049863699999999
41,c1ccc2cc3c(ccc4cc5c(ccc6c5ccc5c7cc8ccc9cc%10ccccc%10cc9c8cc7ccc56)cc43)cc2c1,0.124565272,0.092924145,11.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10874470850000001
42,c1ccc2cc3c(ccc4cc5ccc6c(ccc7c8cc9c(ccc%10cc%11ccccc%11cc%109)cc8ccc76)c5cc43)cc2c1,0.136310624,0.098300345,11.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1173054845
43,c1ccc2cc3c(ccc4cc5c(ccc6ccc7ccc8cc9c(ccc%10cc%11ccccc%11cc%109)cc8c7c65)cc43)cc2c1,0.148173257,0.113071628,11.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1306224425
44,c1cc2cccc3c2c(c1)cc1ccc2cc4cc5cc6cc7ccc8ccc9cc%10c(cc%11cc%12ccc%13cc%14cccc%15cccc(c%15%14)c%13c%12c%12cccc%10c%11%12)cc9c8c7cc6cc5c5cccc(c45)c2c13,0.137870938,0.112536376,19.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125203657
45,c1cc2cc3cc4ccc5c6ccc7c8ccc9cc%10cc%11ccsc%11cc%10cc9c8sc7c6sc5c4cc3cc2s1,0.094844469,0.067059772,11.0,10.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0809521205
46,c1cc2cc3cc4c(ccc5c4sc4ccc6sc7c8cc9cc%10ccsc%10cc9cc8ccc7c6c45)cc3cc2s1,0.096297569,0.064380788,11.0,10.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0803391785
47,c1cc2cc3cc4ccc5c(sc6ccc7sc8c9cc%10cc%11sccc%11cc%10cc9ccc8c7c65)c4cc3cc2s1,0.099265269,0.081738808,11.0,10.0,0.0,0.0,4.0,0.0,0.0,0.0,0.09050203849999999
48,c1cc2ccc3c4cc5cc6ccc7cc8cc9c(cc8cc7c6cc5cc4sc3c2s1)sc1c9ccc2ccsc21,0.151388855,0.113010674,11.0,10.0,0.0,0.0,4.0,0.0,0.0,0.0,0.13219976449999998
49,c1cc2c(ccc3c4cc5cc6ccc7cc8cc9c(cc8cc7c6cc5cc4sc23)sc2c3ccsc3ccc92)s1,0.178413259,0.150480531,11.0,10.0,0.0,0.0,4.0,0.0,0.0,0.0,0.16444689499999998
50,c1cc2c(ccc3c4cc5cc6c(ccc7cc8cc9sc%10c%11ccsc%11ccc%10c9cc8cc76)cc5cc4sc23)s1,0.18914661,0.192927937,11.0,10.0,0.0,0.0,4.0,0.0,0.0,0.0,0.1910372735
51,c1cc2cc3cc4c(ccc5c6ccc7c8ccc9cc%10cc%11sccc%11cc%10cc9c8sc7c6sc45)cc3cc2s1,0.085880961,0.064885836,11.0,10.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0753833985
52,c1cc2ccc3c4cc5cc6c(ccc7cc8cc9sc%10c(ccc%11ccsc%11%10)c9cc8cc76)cc5cc4sc3c2s1,0.169662546,0.120751564,11.0,10.0,0.0,0.0,4.0,0.0,0.0,0.0,0.145207055
53,c1cc2c3ccc4c(cc5cc6ccc7sccc7c6c6cccc4c56)c3cc3cc4ccc5sccc5c4c(c1)c32,0.167366429,0.171998391,11.0,12.0,0.0,0.0,2.0,0.0,0.0,0.0,0.16968241
54,c1cc2c3c(ccc4sccc43)cc3cc4ccc5cc6cc7ccc8sccc8c7c7cccc(c67)c5c4c(c1)c32,0.185603113,0.167351191,11.0,12.0,0.0,0.0,2.0,0.0,0.0,0.0,0.176477152
55,S1C=C2C=C3SC4=CC=CC=C4C3=CC2=C1,0.22,0.11,4.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.165
56,S1C=CC=2C=C3C=C4C=CSC4=CC3=CC12,0.21,0.11,4.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.16
57,S1C=C2C=C3C=C4SC=CC4=CC3=CC2=C1,0.17,0.08,4.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.125
58,S1C=CC=2C=C3C(SC=4C=CC=CC43)=CC12,0.2,0.12,4.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.16
59,S1C=2C=CC=CC2C=3SC=4C=CC=CC4C13,0.3,0.23,4.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.265
60,S1C=CC=2C=C3SC=4C=CC=CC4C3=CC12,0.27,0.11,4.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.19
61,S1C=2C=CC=CC2C=3C=C4SC=5C=C6C(SC=7C=CC=CC76)=CC5C4=CC13,0.21,0.13,7.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0,0.16999999999999998
62,S1C=CC=2C1=C3C=4C=CC=CC4C=5C=CC=6C=CC=CC6C5C3=C7C=CC=CC27,0.29,0.3,7.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.295
63,S1C=CC=2C=C3C=C4SC5=C(C=CC=6C=C7C=CSC7=CC65)C4=CC3=CC12,0.18,0.09,7.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0,0.135
64,S1C=CC=2C=C3C(SC=4C=CC=5C=C6SC=7C=CSC7C6=CC5C43)=CC12,0.2,0.12,7.0,6.0,0.0,0.0,4.0,0.0,0.0,0.0,0.16
65,S1C=CC=2C=CC3=C(C=CC=4SC=5C=C6C(C=CC=7C=CSC76)=CC5C43)C12,0.18,0.13,7.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0,0.155
66,S1C=CC2=CC3=C(C=CC4=C3SC5=CC6=CC=7C=CSC7C=C6C=C54)C=C12,0.16,0.09,7.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0,0.125
67,S1C=2C=CC=CC2C=3C=C4SC=5C=CC=CC5C4=CC13,0.25,0.13,5.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.19
68,S1C=CC=2C=C3SC=4C=C5C=CSC5=CC4C3=CC12,0.24,0.13,5.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.185
69,S1C=CC=2C=C3SC4=CC=C5C=CC=CC5=C4C3=CC12,0.25,0.15,5.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.2
70,S1C=C2C=C3C=C4SC5=CC=CC=C5C4=CC3=CC2=C1,0.18,0.08,5.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.13
71,S1C=CC=2C=C3SC=4C=5C=CC=CC5C=CC4C3=CC12,0.25,0.12,5.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.185
72,S1C=CC=2C=C3SC=CC3=CC12,0.31,0.14,3.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.225
73,S1C=CC=2C=CC=3C=CC=CC3C12,0.23,0.21,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.22
74,S1C=CC=2C=C3C=CSC3=CC12,0.26,0.11,3.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.185
75,c1ccc2c(c1)ccc1sccc12,0.280853334,0.238164479,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2595089065
76,S1C=CC=2C=C3SC=4C=C5C(SC=6C=C7C(SC=8C=C9C=CSC9=CC87)=CC65)=CC4C3=CC12,0.18,0.08,9.0,8.0,0.0,0.0,5.0,0.0,0.0,0.0,0.13
77,c1cc2cc3cc4cc5ccc6c7cc8cc9sccc9cc8cc7ccc6c5cc4cc3cc2s1,0.102363039,0.06776156,9.0,8.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0850622995
78,c1ccc2cc3c(ccc4cc5cc6ccc7cc8cc9ccsc9cc8cc7c6cc5cc43)cc2c1,0.168404281,0.098754779,9.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.13357953
79,S1C=2C=CC=3C=CC=CC3C2C=4SC=5C=CC=6C=CC=CC6C5C14,0.21,0.2,6.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.20500000000000002
80,S1C2=CC=3C=CC=CC3C=C2C=4SC=5C=C6C=CC=CC6=CC5C14,0.19,0.12,6.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.155
81,S1C2=CC3=CC=CC=4C=CC=C(C43)C2=C5SC6=CC=7C=CC=C8C=CC=C(C87)C6=C15,0.15,0.11,8.0,9.0,0.0,0.0,2.0,0.0,0.0,0.0,0.13
82,S1C2=CC=3C=CC=CC3C=C2C=4SC=5C=C6C=C7C(SC8=C7SC=9C=C%10C=CC=CC%10=CC98)=CC6=CC5C14,0.27,0.1,10.0,9.0,0.0,0.0,4.0,0.0,0.0,0.0,0.185
83,c1ccc2c(c1)c1ccccc1c1c3ccc4cc5cc6cc7cc8cc9cc%10sccc%10cc9cc8cc7cc6cc5cc4c3ccc21,0.090617416,0.069422013,12.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0800197145
84,c1ccc2c(c1)c1ccccc1c1cc3cc4cc5c(ccc6c7cc8cc9cc%10cc%11cc%12ccsc%12cc%11cc%10cc9cc8cc7ccc56)cc4cc3cc21,0.069502287,0.050790217,14.0,13.0,0.0,0.0,1.0,0.0,0.0,0.0,0.060146252
85,c1ccc2c(c1)c1ccccc1c1c3cc4c(cc3ccc21)sc1c4cc2cc3c4cc5cc6c7cc8c(ccc9c%10ccccc%10c%10ccccc%10c89)cc7sc6c6cccc(c4ccc3c3cccc1c23)c56,0.161182045,0.196852397,19.0,20.0,0.0,0.0,2.0,0.0,0.0,0.0,0.179017221
86,c1cc2cc3cc4cc5cc6ccc7cc8cc9cc%10cc%11ccsc%11cc%10cc9cc8cc7c6cc5cc4cc3cc2s1,0.104835215,0.073710564,11.0,10.0,0.0,0.0,2.0,0.0,0.0,0.0,0.08927288950000001
87,c1ccc2c(c1)c1ccccc1c1cc3cc4cc5c(ccc6sccc65)cc4cc3cc21,0.129150158,0.099035875,8.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.11409301649999999
88,c1cc2cc3cc4cc5ccc6cc7ccc8cc9ccc%10c%11cc%12cc%13sccc%13cc%12cc%11ccc%10c9cc8c7cc6c5cc4cc3cc2s1,0.069835629,0.046791197,13.0,12.0,0.0,0.0,2.0,0.0,0.0,0.0,0.058313412999999995
89,S1C=CC=2C1=CC=C3C=CC=4SC=CC4C32,0.25,0.39,4.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.32
